1,194,1,194,1,147,1,147
1,194,1,194,128,294,168,334
1,194,1,194,275,419,355,499
175,388,215,428,1,147,5,151
175,388,215,428,128,294,168,334
175,388,215,428,275,419,355,499
369,560,449,640,1,147,1,147
369,560,439,630,128,294,168,334
369,560,449,640,275,419,347,491
